MSG_ID	MSG_TYPE	ID	DIRECTION	Desc
S1F1	81 01	RIR	UP	ROBOT INITIALIZE REQUEST
S1F2	01 02	RIA	DOWN	ROBOT INITIALIZE REQUEST ACKNOWLEDGE
S1F21	81 15	HBQ	DOWN	HEARTBEAT REQUEST
S1F22	01 16	HBR	UP	HEARTBEAT RESPONSE
S1F3	81 03	THC	DOWN	TOTE HOME COMMAND
S1F4	01 04	THA	UP	TOTE HOME ACKNOWLEDGE
S1F5	81 05	THP	UP	TOTE HOME COMPLETE
S1F6	01 06	THK	DOWN	TOTE HOME COMPLETE ACKNOWLEDGE
S1F65	81 41	TDQ	DOWN	TELEMETRY DATA REQUEST
S1F66	01 42	TDR	UP	TELEMETRY DATA REPORT
S1F67	81 43	BSQ	DOWN	BATTERY STATE REQUEST
S1F68	01 44	BSR	UP	BATTERY STATE REPORT
S1F7	81 07	RIP	DOWN	ROBOT INITIALIZE COMPLETE
S1F8	01 08	RIK	UP	ROBOT INT COMPLETE ACKNOWLEDGE
S2F31	82 1F	DSQ	DOWN	DATE AND TIME SET REQUEST
S2F32	02 20	DSA	UP	DATE AND TIME SET ACKNOWLEDGE
S3F1	83 01	IRC	DOWN	ID READ COMMAND
S3F2	03 02	IRP	UP	ID READ COMPLETE
S5F1	85 01	ARP	UP	ALARM REPORT
S5F2	05 02	ARA	DOWN	ALARM REPORT ACKNOWLEDGE
S5F5	85 05	ALQ	DOWN	ALARM LIST REQUEST
S5F6	05 06	ALR	UP	ALARM LIST REPORT
S64F1	C0 01	MVC	DOWN	MOVE COMMAND
S64F11	C0 0B	LDC	DOWN	LOAD / UNLOAD COMMAND
S64F12	40 0C	LDA	UP	LOAD / UNLOAD COMMAND ACKNOWLEDGE
S64F13	C0 0D	LDP	UP	LOAD / UNLOAD COMPLETE
S64F14	40 0E	LCK	DOWN	LOAD / UNLOAD COMPLETE ACKNOWLEDGE
S64F2	40 02	MVA	UP	MOVE COMMAND ACKNOWLEDGE
S64F21	C0 15	CRC	DOWN	CHARGE RATE COMMAND
S64F22	40 16	CRA	UP	CHARGE RATE ACKNOWLEDGE
S64F23	C0 17	AMC	DOWN	ABORT MOVE COMMAND
S64F24	40 18	AMA	UP	ABORT MOVE ACKNOWLEDGE
S64F25	40 19	CRP	UP	CHARGE RATE COMPLETE
S64F3	C0 03	MVI	UP	MOVE INITIATED
S64F31	C0 1F	RRQ	DOWN	ROBOT RESET REQUEST
S64F32	40 20	RRA	UP	ROBOT RESET ACKNOWLEDGE
S64F4	40 04	MIA	DOWN	MOVE INITIATED ACKNOWLEDGE
S64F5	C0 05	MVP	UP	MOVE COMPLETE
S64F6	40 06	MVK	DOWN	MOVE COMPLETE ACKNOWLEDGE
S68F10	C4 0A	IM	DOWN	IDLE MODE REQUEST
S68F11	44 0B	IMA	UP	IDLE MODE ACKNOWLEDGE
S6F21	06 15	???	UP	CURRENT LOG REPORT
S6F65	06 41	ERR	UP	TELEMETRY DATA REPORT
S6F67	06 43	BSR	UP	BATTERY STATE REPORT
S6F69	06 45	TPR	UP	TEMPERATURE DATA REPORT
S6F91	06 5B	IDR	UP	ID READ REPORT
S9F5	09 05	URF	BOTH	UNRECOGNIZED FUNCTION
S9F7	09 07	IVD	BOTH	INVALID DATA INVALID DATA
